,Train,Train,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
,0,1,average_loss,task_losses,task_balanced_accuracies,task_cross_entropy,task_cluster_cost,task_separation_cost,task_l1,task_occ_cost,final_loss,final_balanced_accuracy,final_f1,final_precision,final_recall,final_auc
0,"{'average_loss': 4.183049256006877, 'task_losses': [0.728436971505483, 0.7105179301897685, 0.7272576586405436, 0.6644831840197245, 0.6529290934403738], 'task_balanced_accuracies': [0.5150030465573902, 0.4994331983805668, 0.4976491588112827, 0.4975202061171051, 0.5], 'task_cross_entropy': [0.6857499623298645, 0.6666268849372864, 0.6855054195721945, 0.6260693927605947, 0.6086904764175415], 'task_cluster_cost': [-0.07484563599030176, -0.0747674611210823, -0.07499701549609503, -0.07531798144181569, -0.07558074007431666], 'task_separation_cost': [0.07482331941525142, 0.07435891538858413, 0.07488251258929571, 0.07491258303324382, 0.07468924313783645], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.04170934210220973, 0.04329960403343042, 0.04086675612255931, 0.0378192048954467, 0.044130128646890324], 'final_loss': 0.6994244257609049, 'final_balanced_accuracy': 0.5291381278538813, 'final_f1': 0.362270450751252, 'final_precision': 0.2265135699373695, 'final_recall': 0.9041666666666667, 'final_auc': 0.5291381278538813}",,3.876807557211982,"[0.6875843736860487, 0.6338904433780246, 0.6906319326824613, 0.5734405517578125, 0.559608002503713]","[0.5, 0.509077380952381, 0.48975308641975307, 0.5219017094017094, 0.5058490566037736]","[0.6749301420317756, 0.6139000323083665, 0.6767133739259508, 0.5637069741884867, 0.5421835978825887]","[-0.07130740500158733, -0.07457830260197322, -0.06995057976908153, -0.073095151119762, -0.07481671290265189]","[0.0711572269598643, 0.0734823884235488, 0.06973777131901847, 0.07212291409571965, 0.07303062329689662]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.011804418793569008, 0.02008633895052804, 0.013131377804610465, 0.00970582783015238, 0.0182104990300205]",0.7316522532039218,0.5141509433962265,0.32679738562091504,0.1953125,1.0,0.5141509433962264
1,"{'average_loss': 3.9705286343892414, 'task_losses': [0.6825291665395101, 0.6612915460268657, 0.6854671208063762, 0.6179214545090993, 0.5964537914594015], 'task_balanced_accuracies': [0.5, 0.49444534412955465, 0.523698128895385, 0.5196092853570273, 0.502016129032258], 'task_cross_entropy': [0.6778077165285746, 0.6564898824691773, 0.6807594108581543, 0.6142578927675882, 0.592294911146164], 'task_cluster_cost': [-0.06268619591991106, -0.06597603981693585, -0.06282389566302299, -0.06293587699532509, -0.06457720364133517], 'task_separation_cost': [0.06253501767913501, 0.06532386387387912, 0.06265597348411878, 0.06208334743976593, 0.06321904415885607], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0038726384285837413, 0.0044538582946794724, 0.0038756476738490164, 0.003516104859299958, 0.0045170501475998515], 'final_loss': 0.7268655141194661, 'final_balanced_accuracy': 0.49083904109589044, 'final_f1': 0.34493426140757927, 'final_precision': 0.2117758784425451, 'final_recall': 0.9291666666666667, 'final_auc': 0.4908390410958905}",,3.9174005720350475,"[0.6663818293147616, 0.6457533637682596, 0.6850892305374146, 0.5976174473762512, 0.6103710134824117]","[0.5, 0.4825892857142857, 0.47691358024691355, 0.4928774928774929, 0.46056603773584903]","[0.6613032420476278, 0.6385632223553128, 0.6817529731326633, 0.5950561894310845, 0.6067054271697998]","[-0.055273508032162987, -0.061246618214580745, -0.05823328966895739, -0.06250096360842387, -0.05805146238870091]","[0.054998272409041725, 0.06036754035287433, 0.058058816111750074, 0.06140177696943283, 0.056828129208750196]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.004353852295834158, 0.007069242238584492, 0.0025107383909117845, 0.002660463033761415, 0.0038889612899058396]",0.7121876610649956,0.5141509433962265,0.32679738562091504,0.1953125,1.0,0.5141509433962264
2,"{'average_loss': 4.043823722203572, 'task_losses': [0.6779569896062215, 0.6819819037119548, 0.6901360321044921, 0.6411661052703858, 0.6292823696136475], 'task_balanced_accuracies': [0.5, 0.4636329284750338, 0.5008479525410531, 0.5153705190334688, 0.5], 'task_cross_entropy': [0.6753841996192932, 0.6796908148129781, 0.6883877722422281, 0.6401521444320679, 0.6277961138884226], 'task_cluster_cost': [-0.054256504823764165, -0.05418595711390178, -0.05100870360930761, -0.05373804007967313, -0.054777769843737285], 'task_separation_cost': [0.05404291898012161, 0.05387375275293986, 0.05092059041062991, 0.05298616702357928, 0.05375158935785294], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0017863843384354065, 0.001603301272164875, 0.0008363844253957116, 0.0007658376364270225, 0.0015124500818395367], 'final_loss': 0.7233002805709838, 'final_balanced_accuracy': 0.5156963470319635, 'final_f1': 0.358814352574103, 'final_precision': 0.22072936660268713, 'final_recall': 0.9583333333333334, 'final_auc': 0.5156963470319635}",,4.040162722269694,"[0.6662713289260864, 0.6485421922471788, 0.6998631225691901, 0.6461033622423807, 0.6533299088478088]","[0.5, 0.5473214285714285, 0.42493827160493824, 0.5049857549857549, 0.4826415094339622]","[0.6637705365816752, 0.6467350655131869, 0.6979623436927795, 0.6443668471442329, 0.6519040928946601]","[-0.05114223311344782, -0.05451799722181426, -0.04940796891848246, -0.04978691538174947, -0.049039163523250155]","[0.05084440691603555, 0.05383107976780997, 0.04942542355921534, 0.04916127605570687, 0.04837847708000077]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0017986233449644512, 0.001494064079856293, 0.0008833402874491488, 0.0013621500499236088, 0.0010865208104304555]",0.7260528405507406,0.5377358490566038,0.3378378378378379,0.2032520325203252,1.0,0.5377358490566038
3,"{'average_loss': 4.092417783737183, 'task_losses': [0.6725731905301412, 0.6858508650461833, 0.6921540594100952, 0.6589175335566203, 0.6515437785784404], 'task_balanced_accuracies': [0.5, 0.47432658569500674, 0.4998399778278557, 0.5265485051886535, 0.5092165898617511], 'task_cross_entropy': [0.6712842933336893, 0.6844773276646932, 0.6906260196367899, 0.6580126897493999, 0.6506086985270182], 'task_cluster_cost': [-0.04809187268217405, -0.0502877651154995, -0.04880786716938019, -0.047092898140350975, -0.04867306167880694], 'task_separation_cost': [0.047839324722687405, 0.050059367169936496, 0.04874988198280335, 0.04660736853877703, 0.04797560329238574], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.000541458183991684, 0.0006019515538355335, 0.0005860414910178709, 0.0003903899633102507, 0.0006325487104186323], 'final_loss': 0.731378341515859, 'final_balanced_accuracy': 0.5113013698630137, 'final_f1': 0.35719784449576597, 'final_precision': 0.2190745986779981, 'final_recall': 0.9666666666666667, 'final_auc': 0.5113013698630137}",,4.091568364037408,"[0.6838657591078017, 0.6718380120065477, 0.6943194336361356, 0.6571920580334134, 0.663519283135732]","[0.5, 0.4705357142857143, 0.47790123456790123, 0.5083689458689459, 0.47905660377358494]","[0.6821859412723117, 0.6702619658576118, 0.6923717061678568, 0.6560470395618014, 0.6622265246179369]","[-0.04661372800668081, -0.05169371722473039, -0.04533385195665889, -0.04727647536330753, -0.047323101510604225]","[0.04647380154993799, 0.05126908545692762, 0.04530564033322864, 0.04675921590791808, 0.04674682683414883]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0008197443708518727, 0.0010006794885460597, 0.0009759418231220075, 0.000662291435421341, 0.0008690536390834799]",0.7208337982495626,0.5330188679245284,0.3355704697986577,0.20161290322580644,1.0,0.5330188679245282
4,"{'average_loss': 4.1364946397145586, 'task_losses': [0.683488225142161, 0.6870601836840312, 0.691886846224467, 0.6710084017117818, 0.6677702840169271], 'task_balanced_accuracies': [0.5, 0.47994601889338734, 0.5014039058607709, 0.5181676424725646, 0.5097926267281105], 'task_cross_entropy': [0.6822073165575663, 0.6858706657091777, 0.6905262549718221, 0.670132171312968, 0.6669809945424398], 'task_cluster_cost': [-0.04706770425041517, -0.04792761698365212, -0.04613067810734113, -0.044477053135633465, -0.04490520904461543], 'task_separation_cost': [0.046876170883576075, 0.04775925154487292, 0.0460842635234197, 0.04412669132153193, 0.04446501572926839], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0004724537367421059, 0.0003578990191454068, 0.00040702424454745295, 0.00022660425481565955, 0.00022949620979791994], 'final_loss': 0.7352806878089905, 'final_balanced_accuracy': 0.5017694063926941, 'final_f1': 0.35320754716981134, 'final_precision': 0.21566820276497695, 'final_recall': 0.975, 'final_auc': 0.5017694063926941}",,4.072919872072008,"[0.6895286242167155, 0.6595031155480279, 0.6964962283770243, 0.6392142905129327, 0.6538664499918619]","[0.5, 0.5549107142857144, 0.4693827160493827, 0.5235042735042735, 0.520188679245283]","[0.6874552898936801, 0.6584222515424093, 0.6950850685437521, 0.6367808911535475, 0.6532437470224168]","[-0.04641446222861608, -0.04889911785721779, -0.04427541792392731, -0.04928416758775711, -0.04561696367131339]","[0.04627357174952825, 0.04842393100261688, 0.04428653584586249, 0.04847139906552103, 0.04500905838277605]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0012142245961715365, 0.0005560751208880296, 0.00040005770526679244, 0.002246197009096957, 0.00023061027685697708]",0.7343111104435391,0.45773584905660375,0.29166666666666674,0.17647058823529413,0.84,0.45773584905660375
5,"{'average_loss': 4.146779756546021, 'task_losses': [0.6852111721038818, 0.6908984549840291, 0.6914745879173279, 0.6663034717241924, 0.6804185708363851], 'task_balanced_accuracies': [0.5, 0.461165991902834, 0.5069782864759818, 0.4967993846748738, 0.49222350230414746], 'task_cross_entropy': [0.6840839902559916, 0.6896637026468913, 0.690333792368571, 0.6649242774645487, 0.6795622340838114], 'task_cluster_cost': [-0.04450205033024152, -0.04774655804038048, -0.04515536993741989, -0.048467923204104105, -0.04375368351737658], 'task_separation_cost': [0.04435287500421206, 0.047639582107464475, 0.04511249283949534, 0.047896421054999035, 0.04346714446942011], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0002763737582366351, 0.0003417420058879846, 0.0001836850322918811, 0.0009507059097328844, 0.00014288650916266003], 'final_loss': 0.7324735267957052, 'final_balanced_accuracy': 0.4959474885844749, 'final_f1': 0.34822804314329736, 'final_precision': 0.21361058601134217, 'final_recall': 0.9416666666666667, 'final_auc': 0.4959474885844749}",,4.1512017250061035,"[0.6836063663164774, 0.6768641206953261, 0.7000782489776611, 0.6779147386550903, 0.6799430449803671]","[0.5, 0.48601190476190476, 0.44320987654320987, 0.4569088319088319, 0.4871698113207547]","[0.682442843914032, 0.6754963662889268, 0.6988054911295573, 0.676796985997094, 0.6789330508973863]","[-0.04573481861088011, -0.04829541097084681, -0.04462545779016283, -0.04675956360167927, -0.04348432686593798]","[0.04555500754051738, 0.04804173815581533, 0.044664752980073295, 0.04637432429525587, 0.04319281751910845]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.00034333445324187376, 0.0006214411130511306, 0.00023347938935734823, 0.0005029942751409382, 0.00030152735255089484]",0.7327951855129666,0.5083018867924528,0.3221476510067114,0.1935483870967742,0.96,0.5083018867924528
6,"{'average_loss': 4.126089051564534, 'task_losses': [0.6924268857638041, 0.6847406363487244, 0.6921089299519857, 0.6708820756276449, 0.668810408115387], 'task_balanced_accuracies': [0.5, 0.4983535762483131, 0.5026675861067761, 0.5126070199182089, 0.5149769585253456], 'task_cross_entropy': [0.6913401643435161, 0.6837007641792298, 0.6910291663805643, 0.6701392189661661, 0.6680939308802287], 'task_cluster_cost': [-0.0433868991335233, -0.04612210805217425, -0.04359967827796936, -0.045109749138355255, -0.04411017333467802], 'task_separation_cost': [0.043320792963107424, 0.04596703350543976, 0.043570921470721564, 0.04470626970132192, 0.04369961678981781], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.00015284719061583018, 0.00019496388521474727, 0.00010853548084545158, 0.0001463523965215548, 0.00012704346160414087], 'final_loss': 0.7171201046307881, 'final_balanced_accuracy': 0.5179223744292237, 'final_f1': 0.3614088820826953, 'final_precision': 0.22138836772983114, 'final_recall': 0.9833333333333333, 'final_auc': 0.5179223744292237}",,4.112125237782796,"[0.6920438143942091, 0.6773163146442838, 0.6929336852497525, 0.6484493282106187, 0.6776464978853861]","[0.5, 0.4587797619047619, 0.5008641975308642, 0.5001780626780626, 0.5130188679245283]","[0.6909479830000136, 0.6761279238594903, 0.6918651858965555, 0.6478215124871995, 0.6767787602212694]","[-0.043933348109324775, -0.05003398615452978, -0.042111166649394564, -0.0496017225086689, -0.04218026830090417]","[0.043861451662249036, 0.04975909739732742, 0.04208615877562099, 0.048843049340777926, 0.04192241902152697]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.00016774592444966806, 0.00046328753645260196, 9.350341901558245e-05, 0.00038650666586666677, 0.00012559148995529136]",0.7237356040212843,0.5307547169811321,0.3309352517985611,0.20175438596491227,0.92,0.5307547169811321
7,"{'average_loss': 4.151296580632527, 'task_losses': [0.6863871637980143, 0.6857888197898865, 0.6932681473096212, 0.6679819186528524, 0.6815248751640319], 'task_balanced_accuracies': [0.5, 0.4975978407557355, 0.49663458524562576, 0.5091920495286291, 0.5011520737327189], 'task_cross_entropy': [0.685385103225708, 0.6847030194600423, 0.6922268899281819, 0.6672862354914347, 0.6806896042823791], 'task_cluster_cost': [-0.043585454473892844, -0.04553104291359584, -0.043076315820217134, -0.04636990403135618, -0.042488400936126706], 'task_separation_cost': [0.043472475310166674, 0.04538127024968465, 0.04305717294414838, 0.045889088809490206, 0.04225468412041664], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0001150579002902911, 0.00023558448787904733, 6.041394760283462e-05, 0.00017650927159593266, 6.90006329496858e-05], 'final_loss': 0.7363456209500631, 'final_balanced_accuracy': 0.4832191780821918, 'final_f1': 0.341723874904653, 'final_precision': 0.20915032679738563, 'final_recall': 0.9333333333333333, 'final_auc': 0.4832191780821918}",,4.149788432651096,"[0.6770631207360162, 0.6831277211507162, 0.6855906976593865, 0.6650581757227579, 0.7010573479864333]","[0.5, 0.49627976190476186, 0.5279012345679013, 0.47613960113960113, 0.39660377358490567]","[0.6760161187913682, 0.6820908453729417, 0.6844382484753927, 0.66422657834159, 0.6999091042412652]","[-0.04392936246262656, -0.04472617515259319, -0.04417689103219244, -0.04788973596360949, -0.04543458711769846]","[0.04371633049514559, 0.044550090614292354, 0.04408421450191074, 0.04731956579618984, 0.04522794195347362]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0002600716278619883, 0.0002129616687953886, 0.00024514032803482324, 0.0004017748368722904, 0.00035488159766019735]",0.7378914223776923,0.5166037735849057,0.32394366197183094,0.19658119658119658,0.92,0.5166037735849056
8,"{'average_loss': 4.140819034576416, 'task_losses': [0.6864191087086996, 0.6918294445673625, 0.6934135373433431, 0.6718297648429871, 0.6637480799357096], 'task_balanced_accuracies': [0.5, 0.4852415654520918, 0.5010871609427121, 0.5036965741017052, 0.5], 'task_cross_entropy': [0.6851457603772482, 0.6907932496070862, 0.6921822309494019, 0.6711072822411855, 0.663139545917511], 'task_cluster_cost': [-0.046642401317755385, -0.04373668024937312, -0.043116623808940255, -0.045955049097537996, -0.04663401554028193], 'task_separation_cost': [0.046489558865626654, 0.0436688964565595, 0.04309730509916941, 0.04550548935929934, 0.046015838185946144], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.00042620696215256735, 0.00010399636541857642, 0.0002506382347246472, 0.0001720477630260575, 0.00022672294374539585], 'final_loss': 0.7335790912310283, 'final_balanced_accuracy': 0.49860159817351596, 'final_f1': 0.349768875192604, 'final_precision': 0.21455576559546313, 'final_recall': 0.9458333333333333, 'final_auc': 0.49860159817351596}",,3.957005580266317,"[0.6749531361791823, 0.6835959553718567, 0.6914717555046082, 0.6763156586223178, 0.4914966556761]","[0.5, 0.41592261904761907, 0.49703703703703705, 0.4747150997150997, 0.5211320754716982]","[0.6731371151076423, 0.6819937825202942, 0.6903777850998772, 0.6753713687260946, 0.49203061395221287]","[-0.05119991799195608, -0.05083574106295904, -0.04273937187261052, -0.04519799682829115, -0.07471088320016861]","[0.05088184566961394, 0.0505904828508695, 0.042709151903788246, 0.04483011903034316, 0.07099368340439266]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0011341073873659803, 0.0008474602929911473, 0.0001242000087384238, 0.0003121588455946443, 0.002183247875008318]",0.7391724056667752,0.5,0.32051282051282054,0.19083969465648856,1.0,0.5
