,Train,Train,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
,0,1,average_loss,task_losses,task_balanced_accuracies,task_cross_entropy,task_cluster_cost,task_separation_cost,task_l1,task_occ_cost,final_loss,final_balanced_accuracy,final_f1,final_precision,final_recall,final_auc
0,"{'average_loss': 39.75416685740153, 'task_losses': [8.178717314402263, 7.382591985066732, 8.043667488098144, 7.863366511662801, 7.580567056337992], 'task_balanced_accuracies': [0.48821331894958697, 0.5128798920377867, 0.49768875192604006, 0.5, 0.5], 'task_cross_entropy': [0.6802072803179423, 0.654273327589035, 0.6834816733996073, 0.6107331844170888, 0.5968403108914693], 'task_cluster_cost': [-0.07523490568002066, -0.07492314239343008, -0.07533239156007766, -0.07571531663338343, -0.07558150668938955], 'task_separation_cost': [0.07515251229206721, 0.07432841608921686, 0.07516702810923258, 0.075041357477506, 0.07448827683925628], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [7.497592421372731, 6.727913418610891, 7.3593512368202205, 7.252307290236155, 6.983819992542267], 'final_loss': 0.7052566301822663, 'final_balanced_accuracy': 0.5019121004566209, 'final_f1': 0.32581967213114754, 'final_precision': 0.21603260869565216, 'final_recall': 0.6625, 'final_auc': 0.5019121004566209}",,15.519894493950737,"[3.21684373749627, 2.484927495320638, 3.593988127178616, 2.670368936326769, 2.8747588528527155]","[0.5, 0.5, 0.5, 0.4951923076923077, 0.5]","[0.6672776208983527, 0.6005682812796699, 0.6663737164603339, 0.536434508032269, 0.5180193682511648]","[-0.0751931228571468, -0.07513537423478232, -0.07526543902026282, -0.07555988762113783, -0.07575980242755678]","[0.07495978391832775, 0.07374611662493812, 0.07488277802864711, 0.07389456116490895, 0.07342934608459473]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[2.548799475034078, 1.884748485353258, 2.926997078789605, 2.1345997518963284, 2.358069962925381]",0.6790075037214491,0.640377358490566,0.39669421487603307,0.25,0.96,0.6403773584905661
1,"{'average_loss': 6.999128805796305, 'task_losses': [1.3904941789309184, 1.130123908519745, 1.3910505596796672, 1.1836014858881632, 1.1933351103464762], 'task_balanced_accuracies': [0.5, 0.48501484480431845, 0.4933846504092938, 0.5188800578338371, 0.5089285714285714], 'task_cross_entropy': [0.6597381122907002, 0.653594487508138, 0.6818501098950704, 0.5914737447102865, 0.5676192792256674], 'task_cluster_cost': [-0.06917677124341329, -0.06568741704026858, -0.06784978051980337, -0.06718148122231166, -0.06803505872686703], 'task_separation_cost': [0.06886443371574084, 0.06489425813158353, 0.06767193034291268, 0.0657350239654382, 0.06608513668179512], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.7300684171915054, 0.47632258653640747, 0.7083783093094825, 0.5925742118557294, 0.6266657657424609], 'final_loss': 0.7105235473314921, 'final_balanced_accuracy': 0.5075913242009132, 'final_f1': 0.3306122448979592, 'final_precision': 0.21891891891891893, 'final_recall': 0.675, 'final_auc': 0.5075913242009132}",,5.398364543914795,"[0.955395950211419, 0.9769549502266778, 0.9715856115023295, 0.9215742018487718, 0.8783054418034024]","[0.5, 0.41101190476190474, 0.5201234567901235, 0.4440883190883191, 0.5371698113207547]","[0.6782018078698052, 0.6588169270091586, 0.6722115476926168, 0.6168767412503561, 0.5620518657896254]","[-0.058505853017171226, -0.058510144551595054, -0.060075872060325414, -0.058155286643240184, -0.0609162011080318]","[0.058302159110705055, 0.057823731667465635, 0.05979754113488727, 0.056940083702405296, 0.05888715179430114]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.2763978491226832, 0.31782444525096154, 0.29865241878562504, 0.3049126813809077, 0.31728263530466294]",0.6945484280586243,0.5145283018867924,0.3063063063063063,0.19767441860465115,0.68,0.5145283018867925
2,"{'average_loss': 4.488690408070882, 'task_losses': [0.7652206182479858, 0.7672377141316732, 0.7860986963907878, 0.7346330261230469, 0.7331339104970296], 'task_balanced_accuracies': [0.5, 0.4839352226720648, 0.5030173252871326, 0.5126889792075587, 0.5066244239631337], 'task_cross_entropy': [0.6666887784004212, 0.6774484332402547, 0.6872050817807516, 0.6434216022491455, 0.627047624985377], 'task_cluster_cost': [-0.05446097175280253, -0.05169522096713384, -0.052773044457038246, -0.053063686341047286, -0.05378155916929245], 'task_separation_cost': [0.054124765346447626, 0.0513442296286424, 0.0526606872677803, 0.05217645918329557, 0.052607281853755315], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.09786805793642998, 0.08914028356472652, 0.09800598642478386, 0.0910986619691054, 0.10626057244837284], 'final_loss': 0.7023664490381877, 'final_balanced_accuracy': 0.5134703196347032, 'final_f1': 0.3350357507660878, 'final_precision': 0.2219215155615697, 'final_recall': 0.6833333333333333, 'final_auc': 0.5134703196347031}",,4.465467929840088,"[0.7623916003439162, 0.7664324575000339, 0.7778152492311265, 0.7547221647368537, 0.7131781114472283]","[0.5, 0.5107142857142857, 0.49580246913580245, 0.46385327635327633, 0.47207547169811326]","[0.6972979108492533, 0.6644109355078803, 0.6854599846733941, 0.6441458331214057, 0.6437735756238302]","[-0.04902066828476058, -0.04859096142980787, -0.04962273728516367, -0.05131933589776357, -0.04985057272844844]","[0.04898804591761695, 0.04814934192432298, 0.04949473672442966, 0.05044598339332475, 0.048876983010106616]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.06412631956239541, 0.10146316016713779, 0.09148326805896229, 0.11044968912998836, 0.06937814545300272]",0.6909282869762845,0.5358490566037736,0.3125,0.2112676056338028,0.6,0.5358490566037736
3,"{'average_loss': 4.272109518051147, 'task_losses': [0.7128003025054932, 0.7242133442560832, 0.7288839666048685, 0.7154801448186239, 0.6801682941118876], 'task_balanced_accuracies': [0.5011037527593819, 0.4798488529014845, 0.49201703823705056, 0.4784384023402529, 0.5262096774193548], 'task_cross_entropy': [0.6726320155461629, 0.6858264255523682, 0.6917156370480856, 0.6723496556282044, 0.6404429276784261], 'task_cluster_cost': [-0.04901942695180575, -0.047420690258344014, -0.04730725904305776, -0.04800504187742869, -0.04863543530305227], 'task_separation_cost': [0.04873595351974169, 0.047228573709726336, 0.047258006781339644, 0.04751488501826922, 0.04770056714614233], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.03945177596683303, 0.037579047561933594, 0.03621759241679683, 0.04262065773567883, 0.03966024523290495], 'final_loss': 0.7105634276072185, 'final_balanced_accuracy': 0.5089041095890411, 'final_f1': 0.3323201621073961, 'final_precision': 0.21954484605087016, 'final_recall': 0.6833333333333333, 'final_auc': 0.5089041095890411}",,4.496115525563558,"[0.7596488793691, 0.7676742209328545, 0.7535153693623013, 0.7680480082829794, 0.7639126910103692]","[0.5, 0.5120535714285714, 0.4672839506172839, 0.453525641025641, 0.39094339622641505]","[0.672799739572737, 0.6663980682690939, 0.6910684042506747, 0.6576191584269205, 0.6575336986117892]","[-0.04675304889678955, -0.04975177554620637, -0.04900280675954289, -0.0493478998541832, -0.05220480759938558]","[0.0465074193974336, 0.04934057220816612, 0.04894633135861821, 0.04870258354478412, 0.05112903772128953]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.08609478837913936, 0.10068737922443284, 0.0615034784293837, 0.1100741798679034, 0.1064547776348061]",0.6833163830969069,0.6086792452830189,0.375,0.2413793103448276,0.84,0.6086792452830188
4,"{'average_loss': 4.2022475910186765, 'task_losses': [0.70743226369222, 0.7079026079177857, 0.7111647295951843, 0.6864688197771708, 0.6841144092877706], 'task_balanced_accuracies': [0.49924585218702866, 0.49475303643724694, 0.5013247196312561, 0.5225913425772204, 0.5092165898617511], 'task_cross_entropy': [0.6794135149319966, 0.6868235882123311, 0.6900941308339437, 0.665058609644572, 0.6590144324302674], 'task_cluster_cost': [-0.04550772542754809, -0.044555267989635466, -0.04541822731494904, -0.045146718670924506, -0.04631785313288371], 'task_separation_cost': [0.04529762034614881, 0.0444254910449187, 0.045365779300530755, 0.044681068907181425, 0.04561474661032359], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.027228871933184563, 0.02020880867804711, 0.020123056862891342, 0.020875871748430655, 0.024803089485891786], 'final_loss': 0.7051647305488586, 'final_balanced_accuracy': 0.5140696347031963, 'final_f1': 0.33402489626556015, 'final_precision': 0.2223756906077348, 'final_recall': 0.6708333333333333, 'final_auc': 0.5140696347031963}",,4.243238131205241,"[0.7091909845670065, 0.7307787206437852, 0.7137829926278856, 0.7132675846417745, 0.7044171558486091]","[0.5, 0.45476190476190476, 0.5155555555555555, 0.4843304843304843, 0.4813207547169811]","[0.6716644234127469, 0.6836135586102804, 0.686683456103007, 0.667685329914093, 0.6702274481455485]","[-0.04484649126728376, -0.046895748625199, -0.04371538096004062, -0.04581244827972518, -0.044714565492338605]","[0.04459701892402437, 0.04669531020853254, 0.04362617846992281, 0.04531995703776678, 0.04419095358914799]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.03677605876388649, 0.0463656195335918, 0.026188750596096117, 0.04507475863728258, 0.0337133318082326]",0.6718006994989183,0.6275471698113207,0.3888888888888889,0.25301204819277107,0.84,0.6275471698113207
5,"{'average_loss': 4.1938993326822915, 'task_losses': [0.701452439626058, 0.7037859773635864, 0.7066168840726217, 0.6928203495343527, 0.6789938831329345], 'task_balanced_accuracies': [0.5044150110375276, 0.4926801619433198, 0.5087005869679263, 0.5092550951358212, 0.5195852534562212], 'task_cross_entropy': [0.6836763699849446, 0.6876799527804057, 0.6897682078679402, 0.6737851889928183, 0.6635739159584045], 'task_cluster_cost': [-0.04425750042001406, -0.04412984053293864, -0.04402743150790533, -0.04432906786600749, -0.04433853099743525], 'task_separation_cost': [0.044105429102977114, 0.04401328240831693, 0.043972178796927136, 0.04394357154766718, 0.043779601752758024], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.016928155256900935, 0.01522258984487659, 0.015903942593140527, 0.018420675465216238, 0.014978910498321056], 'final_loss': 0.7102298041184744, 'final_balanced_accuracy': 0.49543378995433784, 'final_f1': 0.3225806451612903, 'final_precision': 0.2127659574468085, 'final_recall': 0.6666666666666666, 'final_auc': 0.4954337899543379}",,4.273747603098552,"[0.713248590628306, 0.7225657767719693, 0.7316631277402242, 0.7358717521031698, 0.684571835729811]","[0.5, 0.440327380952381, 0.4755555555555555, 0.4465811965811966, 0.5507547169811321]","[0.6808603207270304, 0.6978624131944444, 0.6928391257921854, 0.6835160785251193, 0.6460442079438103]","[-0.044638175103399486, -0.04291756865051058, -0.044547521819671, -0.04484631617863973, -0.04437386534280247]","[0.04447650371326341, 0.04293145901627011, 0.04451946169137955, 0.044524686204062566, 0.043607512282000646]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.03154993579826421, 0.023689476617922384, 0.03785208002146748, 0.05167730483743879, 0.03829399755017625]",0.6858264472749498,0.5673584905660377,0.3492063492063492,0.21782178217821782,0.88,0.5673584905660378
6,"{'average_loss': 4.216560160319011, 'task_losses': [0.6964049983024597, 0.6992562135060628, 0.7026984635988871, 0.6966909305254618, 0.6968466075261434], 'task_balanced_accuracies': [0.5116817995664898, 0.5039892037786774, 0.4962040101226397, 0.49980455861770406, 0.4896313364055299], 'task_cross_entropy': [0.6848144523302714, 0.6860216410954794, 0.692405313650767, 0.6837154428164164, 0.6840535648663839], 'task_cluster_cost': [-0.0434864416718483, -0.043783639470736185, -0.04330477774143219, -0.04300933172305425, -0.043184496313333515], 'task_separation_cost': [0.043370435337225594, 0.04364021842678388, 0.04328053543965022, 0.04276933585604032, 0.04289705728491147], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.010706568082872157, 0.012378006841948567, 0.00931740591238243, 0.012215492355365617, 0.01208049336487117], 'final_loss': 0.7246629428863526, 'final_balanced_accuracy': 0.479708904109589, 'final_f1': 0.3100303951367781, 'final_precision': 0.20481927710843373, 'final_recall': 0.6375, 'final_auc': 0.479708904109589}",,4.204233699374729,"[0.7101655138863457, 0.7022641566064622, 0.7049405177434286, 0.708177301618788, 0.6911787258254157]","[0.5313255926463474, 0.49494047619047615, 0.5108641975308642, 0.474002849002849, 0.5024528301886793]","[0.6745287179946899, 0.6836563812361823, 0.6885746386316087, 0.6821322242418925, 0.6734981603092618]","[-0.0440405263668961, -0.043673410597774714, -0.0419506107767423, -0.04382410065995322, -0.04295487577716509]","[0.04380638856026861, 0.04349502383006944, 0.04189152684476641, 0.04352994097603692, 0.042571819904777736]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.03487094398587942, 0.017786183756672673, 0.015424984546067813, 0.025339267203687794, 0.01706364331766963]",0.6875074969397651,0.5437735849056604,0.3358778625954198,0.20754716981132076,0.88,0.5437735849056604
7,"{'average_loss': 4.181739664077758, 'task_losses': [0.695582005182902, 0.6958685493469239, 0.7022466659545898, 0.6979187663396199, 0.6926784181594848], 'task_balanced_accuracies': [0.5055187637969095, 0.505770580296896, 0.48949132745815505, 0.49692127284877885, 0.49366359447004604], 'task_cross_entropy': [0.6864145231246949, 0.6870481904347737, 0.6936138701438904, 0.6869791809717815, 0.6847408032417297], 'task_cluster_cost': [-0.0422311599055926, -0.042473397701978687, -0.042200949639081956, -0.041948082000017164, -0.042233404517173764], 'task_separation_cost': [0.0421342359483242, 0.042365219990412394, 0.04219863002498945, 0.04179861237605413, 0.04202807193001112], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.008264418939943426, 0.007928547440678812, 0.0076351288160518985, 0.010089063191844615, 0.0071429705272506305], 'final_loss': 0.6974452324708302, 'final_balanced_accuracy': 0.5154109589041096, 'final_f1': 0.3343782654127481, 'final_precision': 0.22315202231520223, 'final_recall': 0.6666666666666666, 'final_auc': 0.5154109589041096}",,4.196435663435194,"[0.7189722326066759, 0.6987325482898288, 0.7101122670703464, 0.7061525450812446, 0.6928997039794922]","[0.4935897435897436, 0.49494047619047615, 0.517037037037037, 0.474002849002849, 0.47660377358490563]","[0.70320725440979, 0.6836758057276408, 0.6892387337154813, 0.6823385490311517, 0.6756508416599698]","[-0.04290386620495054, -0.043770473864343434, -0.04211972405513128, -0.04382325129376517, -0.04443929178847207]","[0.04296801322036319, 0.043598663061857224, 0.04207655953036414, 0.04354670519630114, 0.04399071137110392]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.014700843590415187, 0.01422855279977537, 0.019916710469664797, 0.023090546161660716, 0.01669744823852347]",0.6695663730303446,0.6062264150943396,0.37398373983739835,0.23469387755102042,0.92,0.6062264150943397
8,"{'average_loss': 4.187015921274821, 'task_losses': [0.694338915348053, 0.6995430445671081, 0.6978511468569437, 0.6934286824862163, 0.6876959872245788], 'task_balanced_accuracies': [0.5058683687433201, 0.48898245614035085, 0.5093637716401118, 0.4959167461741824, 0.503168202764977], 'task_cross_entropy': [0.6876593073209126, 0.6926774152119954, 0.6912916119893392, 0.6866219727198283, 0.6810374252001444], 'task_cluster_cost': [-0.04179088627298673, -0.042131421168645225, -0.04152221923073133, -0.0423597518603007, -0.04211187064647674], 'task_separation_cost': [0.04171541502078374, 0.04208767220377922, 0.0414954175055027, 0.042192755887905754, 0.0418736420571804], 'task_l1': [0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295], 'task_occ_cost': [0.0057550947666944316, 0.005909391820896417, 0.005586349087922523, 0.005973715195626331, 0.005896800152277138], 'final_loss': 0.7141581002871196, 'final_balanced_accuracy': 0.49297945205479454, 'final_f1': 0.32016210739615, 'final_precision': 0.21151271753681392, 'final_recall': 0.6583333333333333, 'final_auc': 0.4929794520547945}",,4.17161062028673,"[0.6973129047287835, 0.7151107721858554, 0.7013717889785767, 0.6986190742916532, 0.6967823968993293]","[0.5124576681180455, 0.44806547619047615, 0.5146913580246913, 0.4918091168091168, 0.48830188679245284]","[0.6936369803216722, 0.7042676740222507, 0.6894154018825955, 0.6868128710322909, 0.6825169854693942]","[-0.041808127943012446, -0.04122545611527231, -0.041422509070899755, -0.04231850720114178, -0.04223298943705029]","[0.041807531068722405, 0.041317322187953524, 0.0413771557311217, 0.04213150259521273, 0.04198057742582427]","[0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295, 0.0009999999310821295]","[0.0026765460627050036, 0.009751250139541097, 0.011001748498529196, 0.010993224309964312, 0.013517835513792105]",0.6624136633343167,0.5686792452830189,0.34545454545454546,0.2235294117647059,0.76,0.5686792452830189
